C,time,w,Z,J,J_up,J_down
193.851974400081,2020-06-20T07:00:44.374Z,0.328063548494612,updraft,2,"(-1.78,119]","(-1.57,119]"
149.523950071814,2020-06-20T07:00:44.572Z,-0.191936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
155.468976417091,2020-06-20T07:00:44.773Z,-0.161936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
143.479980398686,2020-06-20T07:00:44.974Z,-0.501936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
131.847985186121,2020-06-20T07:00:45.172Z,-0.661936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
134.287978176624,2020-06-20T07:00:45.373Z,-0.411936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
137.820987718145,2020-06-20T07:00:45.575Z,-0.381936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
137.247980303318,2020-06-20T07:00:45.772Z,-0.561936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
126.091972626235,2020-06-20T07:00:45.972Z,-0.951936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
132.411969250246,2020-06-20T07:00:46.173Z,-0.141936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
117.895991652023,2020-06-20T07:00:46.375Z,-0.241936451505388,downdraft,2,"(-1.78,119]","(-1.57,119]"
